Quater,Average sales
Q1,2885.910336261984
Q2,3345.229953198126
Q3,3670.0904824281097
Q4,3741.841657686214

Holiday,Average sales
Spring/Back to Business,2885.910336261984
None,3330.9917728852747
Back to School,3670.0904824281097
Holiday,3987.1603569682165

Month,Average sales
January,2994.009071770334
February,2787.4225571428565
March,2876.682306763282
April,3398.430769230771
May,3252.23700440529
June,3393.985436893208
July,3768.9007897196257
August,3609.8872731707356
September,3627.5602995169097
October,3289.880630630631
November,4372.486473933647
December,3576.535050505051
